ID;COSTO;NOMBRE
328;2140;Calzoncillos
329;13928;Pulsera
330;77274;Blusa
331;1603;Camisa
332;50073;Abrigo
333;31672;Camisa
334;7201;Vestido
335;26232;Pantalones cortos
336;36189;Chándal
337;4505;Mochila
338;88580;Gorra
339;29794;Bikini
340;89757;Chaleco
341;85868;Camisa
342;7950;Blazer
343;28374;Vestido
344;12621;Pijama de seda
345;42071;Camisa
346;89541;Bikini
347;58635;Bufanda
348;3349;Tacones
349;37033;Calzoncillos
350;64454;Bolso
351;58929;Pantalón
352;87403;Collar
353;44810;Mochila
354;62510;Reloj
355;10676;Vestido de noche
356;43350;Chaleco de punto
357;61417;Traje de baño
358;40665;Pijama de seda
359;53324;Gafas de sol
360;92322;Vestido de noche
361;71310;Paraguas
362;59257;Gorro
363;98563;Shorts
364;8844;Gorra
365;28530;Gorro
366;1508;Blusa
367;6377;Abrigo
368;68453;Gorro
369;90340;Pulsera
370;1502;Chaleco de punto
371;42962;Maleta
372;43801;Bufanda
373;97291;Anillo
374;38505;Sombrero
375;81165;Guantes
376;89216;Abrigo
377;51911;Guantes
378;41367;Chándal
379;29212;Zapatillas
380;14328;Vestido
381;28792;Cartera
382;45265;Pijama
383;70193;Blusa
384;19773;Bufanda
385;46407;Shorts
386;30430;Mochila
387;51467;Bikini
388;22788;Camiseta
389;37465;Vestido
390;42445;Sujetador
391;67028;Maleta
392;77843;Vestido
393;81781;Pulsera
394;65126;Anillo
395;67455;Falda
396;58540;Falda
397;77662;Traje de gala
398;87890;Bolso de mano
399;41035;Bolso de mano
400;92248;Gafas de lectura
401;31058;Vestido
402;66948;Mochila
403;14879;Paraguas
404;35035;Blusa
405;70394;Zapatos
406;16128;Blusa
407;73758;Blusa
408;17320;Pijama
409;92729;Pantalones cortos
410;43376;Tacones
411;85754;Pantalón
412;52458;Traje de gala
413;32687;Chaleco de punto
414;97584;Jersey
415;70412;Pijama
416;67329;Calzoncillos
417;72132;Zapatos
418;66434;Gorro
419;95753;Billetera
420;23665;Shorts
421;79721;Gorra
422;84385;Pantalones cortos
423;93905;Bikini
424;81501;Reloj
425;90835;Bufanda
426;1574;Bufanda
427;85471;Bufanda
428;50117;Camisa
429;89114;Bolso
430;89559;Botas
431;30639;Sujetador
432;71471;Jersey
433;29118;Calcetines
434;20479;Bañador
435;52214;Sudadera
436;72008;Tacones
437;22281;Camiseta
438;1805;Chaleco
439;41702;Chaleco
440;91018;Anillo
441;44639;Jersey
442;60450;Vestido de noche
443;9407;Cinturón
444;27606;Jersey
445;97213;Sandalias
446;36620;Sudadera
447;20516;Abrigo
448;53033;Blusa
449;51651;Calzoncillos
450;70946;Gorro
451;15088;Gorra
452;35843;Bufanda
453;98580;Pantalón
454;91148;Abrigo
455;66140;Gafas de sol
456;53216;Camiseta
457;9865;Chaleco
458;74137;Pantalones cortos
459;5844;Traje de gala
460;52360;Falda
461;52398;Gorra
462;58868;Zapatos
463;41133;Bufanda
464;26602;Bañador
465;82487;Bañador
466;52925;Bolso de mano
467;23996;Abrigo
468;6957;Pulsera
469;7194;Sudadera
470;99726;Paraguas
471;58993;Gorro
472;55768;Bufanda
473;36626;Bufanda
474;48960;Blusa
475;98130;Abrigo
476;90105;Sudadera
477;84137;Sombrero
478;46691;Bañador
479;65312;Bañador
480;27556;Pantalón
481;63990;Pijama de seda
482;21345;Bufanda
483;21208;Traje de baño
484;61440;Falda
485;86800;Sombrero
486;3480;Sudadera
487;99484;Cartera
488;35846;Collar
489;69988;Bikini
490;55688;Gorra
491;15599;Guantes
492;27701;Bufanda
493;81143;Collar
494;42414;Vestido
495;27647;Bolso de mano
496;97718;Jersey
497;6511;Pantalones cortos
498;69667;Chaqueta
499;5940;Calcetines
500;52567;Vestido
501;84571;Sombrero
502;8009;Gafas de lectura
503;47286;Pijama de seda
504;19970;Blusa
505;33777;Blusa
506;21541;Bufanda
507;33101;Cartera
508;12680;Botas
509;62860;Gafas de sol
510;75223;Cinturón
511;47227;Sombrero
512;218;Vestido de noche
513;79079;Shorts
514;56022;Paraguas
515;76746;Blazer
516;5572;Calcetines
517;90915;Sujetador
518;95233;Blazer
519;95414;Calcetines
520;93201;Bufanda
521;50992;Calzoncillos
522;82529;Maleta
523;81623;Tacones
524;28324;Anillo
525;60765;Vestido
526;68226;Gafas de sol
527;62192;Abrigo
528;79149;Pulsera
529;15462;Guantes
530;80504;Bolso de mano
531;57678;Abrigo
532;5504;Blazer
533;60121;Camiseta
534;61582;Bolso de mano
535;35633;Chándal
536;18669;Bolso de mano
537;17694;Vestido de noche
538;38517;Traje de gala
539;23883;Collar
540;55874;Gafas de sol
541;69517;Reloj
542;96144;Chaleco de punto
543;99096;Sandalias
544;56952;Billetera
545;840;Pantalones cortos
546;97824;Collar
547;36746;Camiseta
548;20414;Bolso
549;97801;Sandalias
550;33258;Collar
551;3606;Guantes
552;55982;Bolso
553;33232;Calcetines
554;65728;Pijama de seda
555;34098;Billetera
556;82241;Cinturón
557;11900;Bañador
558;11498;Collar
559;14812;Billetera
560;84089;Zapatos
561;16990;Chaqueta
562;25629;Bolso de mano
563;99515;Gorro
564;2533;Cartera
565;64512;Sombrero
566;81427;Pijama de seda
567;68452;Gorro
568;10103;Bolso de mano
569;1898;Reloj
570;22507;Pijama de seda
571;45558;Mochila
572;98138;Reloj
573;26940;Blazer
574;59490;Mochila
575;16350;Blazer
576;4728;Pijama de seda
577;51120;Bañador
578;67124;Blusa
579;34156;Gorro
580;28151;Chándal
581;15780;Calzoncillos
582;67744;Blazer
583;96230;Camiseta
584;27661;Blazer
585;4237;Gafas de lectura
586;23113;Camiseta
587;14956;Chaleco de punto
588;48280;Camisa
589;51223;Bolso
590;51900;Blazer
591;56073;Sombrero
592;66961;Pijama
593;73667;Pijama de seda
594;19771;Zapatos
595;56402;Sudadera
596;70600;Bolso
597;59943;Sudadera
598;1941;Bikini
599;52364;Guantes
600;18299;Chándal
601;40836;Maleta
602;96913;Falda
603;49334;Blusa
604;36923;Zapatos
605;69328;Chaleco de punto
606;13613;Sujetador
607;89857;Gafas de lectura
608;67063;Bañador
609;83574;Anillo
610;7142;Blusa
611;693;Sandalias
612;34547;Gafas de lectura
613;91665;Mochila
614;57856;Sujetador
615;52967;Jersey
616;82406;Guantes
617;69975;Zapatos
618;86791;Vestido
619;53288;Blazer
620;93123;Bañador
621;28129;Botas
622;42530;Gafas de lectura
623;63421;Blusa
624;76038;Chaleco
625;12169;Bolso de mano
626;78266;Chaleco de punto
627;91033;Guantes
628;53584;Calzoncillos
629;72426;Camiseta
630;66592;Botas
631;31481;Bañador
632;96649;Chándal
633;84902;Mochila
634;17824;Bolso
635;62282;Falda
636;27859;Pantalón
637;20799;Chaqueta
638;5006;Anillo
639;38169;Botas
640;26435;Bolso
641;70980;Paraguas
642;57762;Guantes
643;85506;Bolso de mano
644;54860;Chaleco
645;80359;Cartera
646;8388;Gorro
647;94281;Bolso
648;43104;Billetera
649;98435;Zapatos
650;56843;Vestido de noche
651;193;Bikini
652;38646;Falda
653;49633;Paraguas
654;36105;Chaqueta
655;78056;Pijama
656;96491;Sombrero
657;18076;Chaleco de punto
658;91249;Pantalones cortos
659;42447;Sandalias
660;44440;Reloj
661;35035;Tacones
662;75634;Traje de gala
663;45256;Mochila
664;75474;Calcetines
665;24194;Chaqueta
666;64059;Maleta
667;68886;Botas
668;16314;Sandalias
669;32669;Pulsera
670;51915;Maleta
671;29296;Calzoncillos
672;73426;Pantalones cortos
673;81482;Bolso de mano
674;70324;Bufanda
675;42145;Mochila
676;41949;Sombrero
677;51129;Gafas de sol
678;946;Vestido
679;35394;Cinturón
680;2947;Traje de baño
681;75906;Falda
682;91078;Calcetines
683;9941;Pantalón
684;39943;Abrigo
685;68739;Zapatillas
686;86758;Sudadera
687;65724;Bañador
688;67423;Sandalias
689;1101;Cinturón
690;6279;Blusa
691;80584;Reloj
692;60096;Pantalones cortos
693;95215;Paraguas
694;24309;Vestido
695;71490;Billetera
696;60505;Tacones
697;15142;Gafas de sol
698;25714;Chaqueta
699;72516;Camisa
700;38459;Tacones
701;68612;Gorro
702;50730;Sudadera
703;99490;Bolso
704;96558;Gafas de sol
705;55622;Reloj
706;40400;Botas
707;39038;Bikini
708;93968;Blazer
709;89223;Blazer
710;20685;Bañador
711;74246;Collar
712;80773;Bufanda
713;43605;Bikini
714;76574;Cinturón
715;38971;Cinturón
716;2826;Blusa
717;9913;Zapatos
718;10827;Sujetador
719;27024;Cinturón
720;48520;Collar
721;30606;Vestido de noche
722;65483;Blazer
723;49446;Shorts
724;89747;Anillo
725;85698;Botas
726;79243;Pijama de seda
727;78637;Pijama
728;77117;Zapatos
729;55803;Paraguas
730;46601;Chaleco de punto
731;63352;Falda
732;12035;Pantalones cortos
733;22068;Chaleco de punto
734;43483;Pijama
735;7025;Pantalones cortos
736;4963;Camiseta
737;63802;Bufanda
738;78642;Vestido
739;26423;Falda
740;20144;Chaleco
741;28514;Vestido
742;52150;Jersey
743;65429;Vestido
744;95294;Traje de gala
745;72733;Botas
746;9469;Sudadera
747;65964;Sombrero
748;44999;Bikini
749;33662;Pantalón
750;88133;Sandalias
751;90456;Sudadera
752;34662;Zapatillas
753;73035;Cinturón
754;94734;Cartera
755;76743;Bikini
756;99321;Traje de gala
757;31751;Bolso
758;44777;Vestido
759;92213;Vestido de noche
760;26237;Gafas de sol
761;8818;Pantalones cortos
762;66212;Reloj
763;6910;Reloj
764;87025;Chaleco de punto
765;43464;Bufanda
766;6888;Sujetador
767;87352;Camisa
768;34098;Bañador
769;20729;Guantes
770;57656;Blusa
771;51700;Zapatos
772;54353;Pantalones cortos
773;81222;Falda
774;66198;Guantes
775;81932;Reloj
776;25759;Calzoncillos
777;10926;Sombrero
778;16529;Blazer
779;87484;Shorts
780;30650;Paraguas
781;22251;Vestido
782;98722;Traje de gala
783;79467;Sandalias
784;60317;Gafas de lectura
785;72712;Blusa
786;90500;Calzoncillos
787;43083;Blusa
788;1274;Traje de baño
789;33776;Chaleco de punto
790;69252;Zapatillas
791;40507;Traje de gala
792;2852;Bolso
793;82613;Bolso de mano
794;85091;Blazer
795;5229;Paraguas
796;86188;Pantalones cortos
797;2440;Anillo
798;44931;Sandalias
799;55840;Zapatos
800;691;Vestido
801;31185;Jersey
802;43945;Chaqueta
803;69725;Chaqueta
804;81210;Bufanda
805;20259;Chándal
806;9328;Calcetines
807;52311;Falda
808;98553;Bolso
809;3879;Pulsera
810;13126;Calzoncillos
811;55475;Bufanda
812;39126;Pijama de seda
813;53336;Chándal
814;12672;Jersey
815;38882;Maleta
816;46115;Calzoncillos
817;46860;Bañador
818;72024;Chándal
819;32387;Vestido
820;19426;Pijama
821;14707;Chaleco
822;19328;Collar
823;81657;Pantalón
824;53918;Sombrero
825;7590;Chaqueta
826;56421;Sandalias
827;42143;Pulsera
828;32797;Blazer
829;62603;Sombrero
830;2172;Bufanda
831;83912;Zapatos
832;16125;Traje de baño
833;42071;Camiseta
834;85315;Bolso
835;43378;Camiseta
836;11008;Chándal
837;16841;Abrigo
838;84600;Vestido
839;43658;Botas
840;14683;Chándal
841;82442;Jersey
842;67356;Gorra
843;54285;Sandalias
844;74858;Anillo
845;98586;Bolso de mano
846;10245;Guantes
847;2141;Guantes
848;9566;Chaleco de punto
849;81419;Calzoncillos
850;73497;Camisa
851;97396;Bañador
852;85670;Zapatos
853;82106;Sudadera
854;25010;Blusa
855;87557;Pantalones cortos
856;58924;Bolso
857;56637;Cinturón
858;13194;Camiseta
859;78436;Bolso de mano
860;63368;Pantalones cortos
861;20260;Gorro
862;77529;Paraguas
863;47564;Vestido de noche
864;14549;Pantalón
865;1125;Traje de gala
866;5411;Billetera
867;60634;Paraguas
868;12697;Bañador
869;80741;Maleta
870;87562;Maleta
871;58037;Maleta
872;86887;Pijama de seda
873;7227;Pantalón
874;77800;Chaleco de punto
875;42552;Bolso de mano
876;50094;Zapatillas
877;51391;Camiseta
878;19552;Sombrero
879;75256;Botas
880;6907;Sandalias
881;98140;Sandalias
882;84429;Gafas de sol
883;56978;Pantalones cortos
884;7551;Bufanda
885;43008;Calzoncillos
886;65953;Calcetines
887;86763;Calcetines
888;48416;Pantalón
889;42194;Vestido de noche
890;25794;Sujetador
891;64762;Gafas de lectura
892;22408;Reloj
893;83623;Bolso
894;39789;Guantes
895;86299;Billetera
896;94292;Pulsera
897;84525;Pijama de seda
898;48901;Bikini
899;25456;Vestido
900;97283;Camiseta
901;63168;Guantes
902;5143;Guantes
903;10346;Traje de gala
904;72272;Jersey
905;49235;Bufanda
906;38998;Sandalias
907;13336;Collar
908;6122;Traje de baño
909;5020;Calcetines
910;27170;Falda
911;85622;Calcetines
912;47787;Maleta
913;46643;Blazer
914;88787;Paraguas
915;5466;Camisa
916;63257;Sandalias
917;46756;Bikini
918;78127;Cartera
919;58172;Camiseta
920;15655;Bufanda
921;96890;Shorts
922;13688;Paraguas
923;25131;Billetera
924;43456;Shorts
925;90334;Bolso de mano
926;82441;Pijama
927;29040;Pijama de seda
928;84281;Pantalón
929;30163;Cinturón
930;84059;Sandalias
931;12005;Gorro
932;9160;Shorts
933;95718;Blazer
934;44675;Gorra
935;95489;Chaqueta
936;25383;Sandalias
937;16064;Cartera
938;29760;Gafas de sol
939;82098;Calcetines
940;91730;Tacones
941;49914;Billetera
942;6995;Maleta
943;30681;Collar
944;11073;Traje de gala
945;39142;Cartera
946;6577;Gorro
947;6551;Gorra
948;944;Sujetador
949;69862;Abrigo
950;71766;Calcetines
951;70448;Collar
952;70881;Vestido de noche
953;29804;Collar
954;22846;Collar
955;1038;Chaqueta
956;68893;Chándal
957;83920;Sombrero
958;50666;Botas
959;95188;Cartera
960;36576;Blazer
961;91335;Vestido de noche
962;71704;Bolso de mano
963;81758;Gorro
964;85533;Bikini
965;61987;Vestido de noche
966;90234;Gorro
967;72131;Gorra
968;90500;Collar
969;80241;Sombrero
970;60120;Vestido de noche
971;26079;Sujetador
972;11600;Abrigo
973;28508;Chaleco
974;43288;Billetera
975;96460;Zapatos
976;87777;Vestido
977;82866;Traje de baño
978;22275;Falda
979;84236;Chaqueta
980;23967;Chaqueta
981;296;Gafas de lectura
982;41969;Traje de gala
983;38329;Abrigo
984;59659;Chaleco de punto
985;86845;Blusa
986;91544;Zapatillas
987;92617;Pijama de seda
988;21944;Chaqueta
989;64337;Sudadera
990;20867;Bolso
991;37978;Pijama de seda
992;98052;Cartera
993;47159;Zapatos
994;18943;Bufanda
995;1451;Pijama
996;75748;Sandalias
997;86082;Chándal
998;31205;Zapatos
999;90457;Guantes
1000;98261;Chaleco de punto
1001;70920;Pijama
1002;24603;Collar
1003;65037;Shorts
1004;81701;Maleta
1005;21727;Blusa
1006;98146;Reloj
1007;89846;Sudadera
1008;90508;Bolso de mano
1009;91062;Calcetines
1010;86214;Cinturón
1011;24514;Bolso de mano
1012;3756;Zapatos
1013;72498;Zapatillas
1014;65121;Zapatillas
1015;81298;Pijama
1016;99005;Blazer
1017;63536;Shorts
1018;34293;Guantes
1019;87210;Bolso de mano
1020;67989;Chaqueta
1021;6188;Chaleco de punto
1022;30660;Sujetador
1023;53662;Paraguas
1024;70202;Pijama
1025;20006;Bañador
1026;20746;Camisa
1027;40833;Blazer
1028;67145;Blazer
1029;70140;Pijama de seda
1030;28494;Chándal
1031;27817;Zapatos
1032;53115;Vestido de noche
1033;45424;Maleta
1034;86059;Maleta
1035;30850;Sudadera
1036;10092;Sombrero
1037;2076;Bolso de mano
1038;79831;Gorra
1039;90609;Bolso
1040;15688;Blusa
1041;23177;Pantalones cortos
1042;92451;Sombrero
1043;30932;Maleta
1044;69974;Paraguas
1045;85978;Mochila
1046;57106;Tacones
1047;33455;Sombrero
1048;35963;Calcetines
1049;16435;Vestido de noche
1050;27371;Anillo
1051;95980;Gafas de sol
1052;71683;Collar
1053;97428;Pijama
1054;26805;Collar
1055;96415;Tacones
1056;98664;Gafas de sol
1057;45523;Maleta
1058;73278;Traje de baño
1059;60793;Paraguas
1060;38919;Gafas de sol
1061;95891;Reloj
1062;15258;Reloj
1063;19106;Bolso
1064;31739;Cartera
1065;16918;Blusa
1066;9517;Sudadera
1067;62807;Maleta
1068;5021;Pantalón
1069;77660;Chaleco
1070;57538;Camisa
1071;35393;Chaqueta
1072;41688;Billetera
1073;56481;Camiseta
1074;92585;Cinturón
1075;22728;Bañador
1076;10397;Chaleco de punto
1077;65000;Chándal
1078;417;Calcetines
1079;27867;Vestido
1080;88974;Bañador
1081;90462;Sudadera
1082;71046;Bikini
1083;49596;Bolso
1084;2305;Pantalones cortos
1085;23018;Chaleco de punto
1086;62577;Bañador
1087;99377;Tacones
1088;36891;Vestido
1089;11562;Pantalón
1090;72041;Collar
1091;95704;Shorts
1092;72977;Calcetines
1093;47911;Gafas de lectura
1094;568;Camisa
1095;67979;Traje de baño
1096;45608;Pantalón
1097;45430;Chándal
1098;26931;Tacones
1099;98427;Chándal
1100;80491;Bolso de mano
1101;98481;Calzoncillos
1102;45037;Chaleco de punto
1103;54581;Guantes
1104;62868;Sudadera
1105;98260;Blazer
1106;44457;Falda
1107;49101;Bolso
1108;59157;Bolso de mano
1109;66752;Vestido
1110;15927;Maleta
1111;96879;Chaqueta
1112;4649;Bolso de mano
1113;10214;Cartera
1114;99505;Chándal
1115;54545;Gorra
1116;83897;Anillo
1117;95154;Sudadera
1118;98958;Traje de baño
1119;16173;Traje de baño
1120;75681;Chaleco
1121;9281;Sandalias
1122;56257;Billetera
1123;82554;Paraguas
1124;12075;Tacones
1125;71071;Reloj
1126;78448;Bañador
1127;65821;Pantalones cortos
1128;26077;Zapatos
1129;83272;Gafas de sol
1130;38119;Pantalones cortos
1131;76978;Sombrero
1132;54930;Calcetines
1133;88362;Gafas de lectura
1134;22101;Bufanda
1135;92800;Calzoncillos
1136;71575;Cartera
1137;53624;Cinturón
1138;5343;Pijama
1139;14652;Cartera
1140;56257;Pijama
1141;10595;Tacones
1142;50667;Traje de gala
1143;91022;Pijama
1144;36508;Chaleco de punto
1145;39721;Gafas de sol
1146;27151;Chándal
1147;48494;Gorra
1148;46048;Chaleco de punto
1149;7309;Sudadera
1150;28650;Billetera
1151;64962;Billetera
1152;81482;Gafas de sol
1153;85744;Gorro
1154;94011;Sujetador
1155;81572;Anillo
1156;41544;Zapatillas
1157;47777;Camiseta
1158;35177;Sujetador
1159;66469;Zapatos
1160;62566;Pijama
1161;19382;Reloj
1162;21178;Sandalias
1163;39448;Sudadera
1164;21517;Guantes
1165;2391;Vestido de noche
1166;72256;Paraguas
1167;58775;Jersey
1168;69208;Sandalias
1169;71175;Chaleco de punto
1170;8878;Maleta
1171;74238;Pijama de seda
1172;21742;Traje de gala
1173;70661;Blusa
1174;10176;Bikini
1175;99078;Tacones
1176;16088;Botas
1177;12390;Pijama
1178;67484;Blazer
1179;36930;Pantalones cortos
1180;42114;Pantalón
1181;8527;Bolso
1182;25154;Shorts
1183;66256;Maleta
1184;78416;Calzoncillos
1185;69309;Pantalón
1186;69612;Paraguas
1187;15274;Falda
1188;30702;Reloj
1189;16654;Gafas de lectura
1190;76586;Sandalias
1191;57552;Chándal
1192;5818;Shorts
1193;8904;Chaleco
1194;68119;Traje de gala
1195;65569;Chaqueta
1196;39015;Calcetines
1197;45920;Shorts
1198;50519;Shorts
1199;18894;Vestido de noche
1200;99997;Collar
1201;28116;Zapatos
1202;79361;Botas
1203;52183;Chaleco
1204;65690;Traje de baño
1205;4283;Guantes
1206;98629;Cartera
1207;48795;Vestido
1208;76632;Bañador
1209;4368;Bolso de mano
1210;39775;Gorro
1211;55591;Sudadera
1212;35547;Gorro
1213;78757;Calzoncillos
1214;28037;Bañador
1215;41581;Billetera
1216;85498;Pantalones cortos
1217;43381;Chándal
1218;82590;Shorts
1219;33407;Gorro
1220;53151;Collar
1221;84787;Bañador
1222;57405;Maleta
1223;76412;Pantalón
1224;50844;Tacones
1225;96154;Abrigo
1226;64740;Camiseta
1227;91025;Tacones
1228;98407;Gorro
1229;26991;Calzoncillos
1230;46911;Jersey
1231;35621;Sujetador
1232;61629;Vestido de noche
1233;60628;Vestido
1234;77986;Pijama de seda
1235;83575;Bolso
1236;78556;Bolso de mano
1237;65685;Billetera
1238;83431;Pantalón
1239;28041;Jersey
1240;47957;Shorts
1241;92113;Chándal
1242;85577;Sandalias
1243;4949;Traje de baño
1244;28829;Falda
1245;7772;Blazer
1246;24668;Sudadera
1247;78697;Tacones
1248;30952;Sujetador
1249;73421;Chaleco de punto
1250;66936;Pantalones cortos
1251;32161;Chaleco de punto
1252;66490;Anillo
1253;42907;Calcetines
1254;95370;Vestido
