ID;CAPACIDAD;TIPO;DOTACION;PRECIONOCHE;CONSUMOEXTRA;HOTELID;RESERVAID;USUARIOID;SERVICIOCONSUMOID
108;1;penthouse;Blankets;438;549;7;10382;33191;16152
109;5;double;Pillows;857;95;70;23877;33845;34504
110;14;penthouse;Towels;792;232;891;38822;46690;37606
111;13;suite;Toiletries;290;481;406;1889;46089;34845
112;1;studio;Towels;676;705;411;1507;17656;47920
113;7;loft;Safe box;547;444;743;27769;18813;26570
114;4;apartment;Toiletries;695;909;383;49568;5147;44808
115;11;apartment;Bed sheets;23;982;801;45332;6576;390
116;14;penthouse;Towels;617;190;998;22466;23698;33135
117;2;penthouse;Coffee maker;970;997;326;42554;32642;35829
118;14;studio;Toiletries;312;949;572;36981;25074;29365
119;8;loft;Toiletries;895;508;93;47100;14365;28555
120;6;single;Safe box;122;916;917;12160;35136;12791
121;15;bungalow;Coffee maker;370;835;583;13254;30422;47782
122;12;apartment;Bed sheets;50;304;216;20035;41911;36639
123;7;double;Pillows;914;127;18;11873;11508;8721
124;14;studio;Hairdryer;572;976;203;23094;47503;24273
125;6;cottage;Safe box;938;620;711;49889;25615;14614
126;11;penthouse;Bed sheets;950;204;166;4436;23375;20561
127;7;bungalow;Safe box;475;103;15;18505;13360;28170
128;6;cottage;Toiletries;228;421;600;30133;33074;4490
129;2;twin;Mini fridge;548;234;534;7637;48487;21991
130;4;loft;Hairdryer;906;665;652;15853;5379;49828
131;13;suite;Coffee maker;753;131;422;10091;38325;11174
132;13;suite;Mini fridge;607;616;859;22832;8638;317
133;14;studio;Safe box;555;869;701;35354;9765;15935
134;6;studio;Blankets;463;628;212;47353;41814;14458
135;1;penthouse;Hangers;291;68;389;1738;3454;9294
136;5;bungalow;Towels;764;933;690;4474;31607;32290
137;11;cottage;Hangers;149;269;968;22485;47789;41660
138;11;suite;Hairdryer;601;639;525;8066;34966;13740
139;3;bungalow;Toiletries;644;154;237;26835;8704;36237
140;15;suite;Bed sheets;699;866;513;8615;44708;45519
141;9;apartment;Towels;335;477;159;4007;15372;45274
142;4;bungalow;Coffee maker;588;592;949;34891;9434;26790
143;13;penthouse;Safe box;480;198;977;44357;20657;45018
144;12;penthouse;Hairdryer;668;27;141;45593;35442;1653
145;7;apartment;Safe box;355;321;410;26863;49648;12965
146;4;double;Hairdryer;243;944;173;7753;38032;24638
147;12;bungalow;Blankets;693;832;569;9110;37400;18175
148;13;cottage;Towels;715;537;785;25208;9325;7476
149;5;studio;Blankets;99;709;894;6354;38613;39826
150;4;suite;Safe box;18;163;610;37983;45661;10230
151;1;loft;Toiletries;715;907;19;3736;15711;30775
152;7;bungalow;Safe box;29;223;295;49757;3703;30178
153;10;cottage;Coffee maker;832;642;800;10829;3053;46113
154;6;suite;Blankets;670;357;163;37475;2751;23568
155;3;twin;Hairdryer;664;187;32;12709;14080;14357
156;1;apartment;Coffee maker;439;726;572;31092;40051;10719
157;4;bungalow;Hairdryer;633;115;35;34014;45898;48926
158;5;bungalow;Hairdryer;377;593;351;25795;7672;22189
159;14;suite;Mini fridge;839;132;798;40939;8880;9571
160;7;single;Coffee maker;691;0;850;38924;2095;45462
161;9;bungalow;Towels;652;575;34;14720;18307;12200
162;8;cottage;Pillows;872;374;976;34713;2313;29209
163;9;cottage;Toiletries;251;155;911;33093;37400;49693
164;10;bungalow;Pillows;42;83;37;36705;10421;17878
165;10;apartment;Pillows;185;259;214;14619;19909;38939
166;13;suite;Safe box;378;440;37;45230;11935;30582
167;6;apartment;Mini fridge;252;711;95;11529;12477;28402
168;11;loft;Coffee maker;946;519;757;45936;480;14777
169;13;suite;Pillows;475;145;910;35264;38761;11690
170;15;double;Hairdryer;279;724;675;1894;37289;12152
171;13;bungalow;Blankets;495;219;188;23759;12310;3573
172;14;double;Towels;956;99;962;7553;2927;45442
173;13;suite;Hairdryer;596;644;3;9358;13461;48419
174;14;apartment;Mini fridge;585;682;299;45276;31545;48456
175;13;bungalow;Pillows;825;850;51;5037;16490;13074
176;8;loft;Hangers;594;706;256;31566;17871;49400
177;13;suite;Mini fridge;760;312;743;1442;46348;20894
178;11;suite;Toiletries;543;542;412;561;47973;13768
179;2;loft;Towels;296;138;122;49386;3683;23917
180;11;twin;Toiletries;507;923;157;5835;25151;29954
181;10;double;Mini fridge;649;35;804;26325;37965;31078
182;4;twin;Mini fridge;949;665;573;15107;30734;47080
183;12;suite;Towels;838;851;390;31832;45571;39703
184;8;studio;Toiletries;75;747;280;19417;37089;6851
185;12;twin;Toiletries;390;444;313;36323;33468;30425
186;5;apartment;Blankets;66;638;418;38709;42234;41409
187;6;bungalow;Safe box;402;658;969;31004;13877;39786
188;9;bungalow;Toiletries;154;457;479;7623;17653;32902
189;1;twin;Blankets;11;344;657;30291;12178;11603
190;2;twin;Bed sheets;17;93;769;7841;17167;43374
191;3;penthouse;Towels;112;260;651;7735;40761;31375
192;10;suite;Safe box;467;440;824;13057;39705;25779
193;2;loft;Mini fridge;692;792;587;26830;7199;47124
194;7;loft;Safe box;645;78;198;1674;31608;43486
195;11;penthouse;Hairdryer;3;671;838;47045;23979;13766
196;9;studio;Towels;988;603;202;118;48523;28246
197;5;single;Coffee maker;235;179;869;46947;43849;45695
198;2;suite;Coffee maker;288;489;614;36371;37453;19399
199;6;single;Blankets;233;203;576;30778;32007;23754
200;12;suite;Hangers;974;229;733;1390;31747;29036
201;8;double;Bed sheets;15;497;219;12203;31533;510
202;3;double;Towels;930;725;348;42132;38826;45865
203;6;studio;Hairdryer;246;601;447;18082;21766;16023
204;14;double;Towels;447;330;615;28203;32018;19901
205;7;single;Coffee maker;736;404;981;41859;30380;17295
206;12;bungalow;Hangers;811;163;493;34408;14491;23053
207;14;suite;Safe box;256;882;894;30119;15939;14674
208;12;apartment;Mini fridge;775;6;988;34071;45052;365
209;13;suite;Hangers;550;232;716;18476;43288;12237
210;7;single;Mini fridge;495;921;132;15839;13050;21362
211;6;apartment;Toiletries;987;972;761;13169;46277;47751
212;10;apartment;Hangers;788;372;576;13839;38449;6984
213;5;penthouse;Coffee maker;730;209;424;16957;8151;19730
214;8;suite;Hangers;751;324;687;7896;16179;3038
215;2;apartment;Coffee maker;137;442;990;34057;41317;34504
216;2;studio;Safe box;577;531;152;6707;14889;10696
217;3;single;Towels;935;176;511;6243;22741;40848
218;15;suite;Bed sheets;842;147;188;12327;49092;22681
219;13;single;Pillows;314;615;252;767;33902;22629
220;10;apartment;Blankets;880;492;38;12715;9773;24747
221;1;studio;Coffee maker;998;942;187;45669;38895;44574
222;9;double;Bed sheets;396;937;235;42526;31822;37734
223;6;bungalow;Toiletries;625;7;735;35624;39785;5872
224;12;suite;Toiletries;448;238;898;38624;30927;18805
225;4;double;Coffee maker;536;546;997;47500;21603;43052
226;5;cottage;Coffee maker;115;384;617;48587;49997;3354
227;2;penthouse;Hairdryer;851;371;725;2039;19733;28033
228;11;double;Hangers;35;856;186;22779;3576;28693
229;13;loft;Safe box;482;245;283;13117;45180;14367
230;14;suite;Towels;834;671;348;34174;16329;4157
231;14;single;Mini fridge;743;177;150;13085;27970;846
232;8;loft;Safe box;822;263;743;39776;1123;44155
233;5;bungalow;Bed sheets;863;260;275;17299;45810;13872
234;5;cottage;Safe box;231;657;448;37561;36401;24417
235;9;apartment;Safe box;285;597;782;36972;4049;22333
236;6;penthouse;Mini fridge;615;887;415;37559;27009;2930
237;2;loft;Toiletries;757;172;643;28177;23853;37584
238;10;cottage;Towels;904;563;561;12431;33012;30502
239;10;penthouse;Hairdryer;706;428;983;28161;27422;26220
240;15;double;Hangers;989;686;389;18855;23610;41353
241;2;twin;Pillows;582;173;154;48374;20347;17859
242;1;suite;Toiletries;851;576;69;9604;49560;47173
243;12;bungalow;Towels;393;353;211;20006;37106;34347
244;10;double;Bed sheets;600;763;782;20410;37676;35813
245;12;bungalow;Safe box;641;355;819;21395;30039;41973
246;9;bungalow;Bed sheets;992;562;635;21980;40969;1648
247;3;single;Blankets;28;986;43;30433;29837;15091
248;9;bungalow;Toiletries;633;663;358;2155;15868;1439
249;5;penthouse;Pillows;973;509;601;37736;35574;31232
250;14;loft;Towels;146;446;119;15147;16026;27121
251;3;suite;Hangers;39;334;687;11238;36382;18850
252;15;apartment;Coffee maker;396;468;259;32089;14474;49891
253;6;twin;Hangers;486;584;674;555;12042;15211
254;6;studio;Bed sheets;300;14;792;7803;14084;10896
255;5;suite;Hangers;806;33;691;17694;49583;21860
256;13;bungalow;Hairdryer;867;960;871;12751;28969;14245
257;3;single;Safe box;808;356;980;7515;31283;14754
258;9;studio;Pillows;915;247;314;37223;15059;24166
259;3;double;Toiletries;801;983;948;12817;15675;2200
260;2;single;Mini fridge;441;997;893;32725;26868;37908
261;4;single;Hairdryer;215;302;193;21516;5986;32144
262;12;twin;Towels;708;178;697;16545;10090;38591
263;2;penthouse;Pillows;446;753;220;47300;41417;49707
264;4;suite;Pillows;567;505;328;41721;33492;47000
265;1;bungalow;Coffee maker;315;447;318;15875;48388;48525
266;6;penthouse;Mini fridge;157;353;309;40032;48360;36761
267;13;bungalow;Blankets;200;152;726;37493;45641;40092
268;1;double;Hangers;258;948;274;6277;20517;31136
269;8;bungalow;Blankets;511;764;392;23913;21728;249
270;7;cottage;Safe box;962;693;235;21786;4018;11165
271;5;apartment;Hangers;110;521;601;48004;9620;41231
272;11;double;Hairdryer;604;301;265;25789;4961;46507
273;11;cottage;Pillows;344;685;53;31409;5814;31667
274;7;studio;Bed sheets;775;567;282;14747;10230;11236
275;13;loft;Mini fridge;483;975;322;41791;22128;2187
276;11;twin;Hairdryer;581;953;340;606;41920;18656
277;10;penthouse;Mini fridge;8;561;955;4746;32843;38445
278;13;apartment;Bed sheets;365;502;456;19776;9923;35922
279;9;double;Mini fridge;534;819;791;28350;38796;49034
280;11;cottage;Pillows;126;349;704;6014;2417;42790
281;5;loft;Pillows;453;788;328;2476;23270;8068
282;11;bungalow;Safe box;153;591;203;15374;21780;4561
283;14;studio;Bed sheets;499;938;138;32269;15525;42326
284;11;suite;Pillows;313;932;354;43024;10193;27541
285;7;suite;Mini fridge;6;795;320;19830;43788;46916
286;4;cottage;Hangers;380;411;800;40922;26527;8155
287;14;penthouse;Hangers;383;316;995;27119;3388;1813
288;4;studio;Bed sheets;342;76;612;16053;8440;2500
289;15;loft;Mini fridge;607;930;17;43026;16133;46208
290;13;studio;Toiletries;207;996;317;31272;28243;4729
291;9;apartment;Towels;666;90;376;12404;16174;46044
292;4;bungalow;Safe box;805;382;471;45368;48814;24771
293;13;studio;Toiletries;457;990;177;30941;26077;27678
294;13;suite;Toiletries;939;155;632;29318;40175;26686
295;14;bungalow;Bed sheets;911;231;809;20416;34915;40582
296;12;single;Blankets;287;829;307;31283;16004;13142
297;7;loft;Safe box;564;295;982;37800;28610;28989
298;9;cottage;Coffee maker;841;198;702;1885;10607;9021
299;1;double;Hangers;589;493;623;4127;2658;23698
300;9;loft;Safe box;975;978;720;39945;38530;39633
301;14;apartment;Hairdryer;308;326;295;43568;23830;36871
302;13;bungalow;Coffee maker;55;273;895;18890;21841;49667
303;6;loft;Bed sheets;521;631;641;44860;2933;39816
304;1;cottage;Hangers;981;880;65;30047;44377;32786
305;13;twin;Coffee maker;225;378;886;13615;35990;30382
306;12;penthouse;Mini fridge;162;669;827;47869;28343;6942
307;8;cottage;Pillows;169;644;597;23357;36263;46623
308;8;suite;Safe box;854;29;747;6157;14069;47195
309;2;penthouse;Bed sheets;591;209;619;5303;33633;36177
310;7;loft;Hairdryer;311;968;520;1591;37515;33318
311;10;suite;Bed sheets;624;612;951;23769;35192;11546
312;15;double;Toiletries;220;982;454;954;35814;45715
313;5;double;Mini fridge;693;197;647;35197;20634;933
314;10;penthouse;Pillows;350;285;599;49360;35040;16760
315;1;studio;Blankets;339;520;50;31174;2659;11907
316;15;cottage;Mini fridge;266;341;752;33388;41422;5217
317;10;double;Safe box;917;458;339;16111;28491;34492
318;5;penthouse;Hairdryer;364;153;59;611;35796;25035
319;7;single;Safe box;893;207;208;41271;3619;25701
320;11;suite;Coffee maker;614;865;305;21241;21122;19304
321;6;studio;Bed sheets;241;213;18;21787;23825;29846
322;8;double;Coffee maker;84;639;702;8284;18385;34943
323;3;double;Pillows;777;471;17;20154;45796;36106
324;13;twin;Toiletries;860;862;252;5209;37278;19372
325;4;cottage;Mini fridge;423;951;943;11132;444;19427
326;14;suite;Towels;420;109;366;35062;24191;8221
327;10;studio;Mini fridge;931;662;640;39968;44013;24241
328;1;single;Blankets;373;701;103;36201;34437;41818
329;3;apartment;Hairdryer;654;321;186;17869;43087;40960
330;15;loft;Coffee maker;370;449;326;13626;22826;12564
331;1;single;Hangers;94;959;435;20970;14649;11878
332;9;suite;Toiletries;613;178;883;49552;26754;5516
333;4;single;Pillows;780;579;641;40425;24716;38794
334;2;bungalow;Hangers;409;542;769;717;19443;24093
335;1;twin;Hangers;898;771;204;37374;6404;12208
336;8;bungalow;Toiletries;646;186;521;29745;8582;40872
337;14;twin;Bed sheets;161;382;82;20085;46484;2020
338;1;cottage;Towels;996;795;806;5640;12446;32507
339;10;single;Safe box;374;900;18;6057;12057;23852
340;11;suite;Toiletries;10;902;330;5277;38764;2898
341;9;apartment;Hairdryer;654;266;23;815;15951;13192
342;15;suite;Hairdryer;811;765;812;1069;23468;8981
343;11;twin;Toiletries;593;923;309;47011;4215;17139
344;2;suite;Hangers;632;499;419;9364;19173;23113
345;6;twin;Blankets;505;321;334;6003;1483;5647
346;2;loft;Toiletries;820;374;201;32742;20052;29129
347;1;apartment;Bed sheets;323;207;490;26418;34810;22288
348;2;double;Towels;844;191;980;45542;6238;16150
349;5;bungalow;Toiletries;109;677;721;343;32165;46125
350;9;cottage;Bed sheets;435;612;174;28472;42141;32719
351;15;suite;Pillows;694;340;669;13159;47831;14637
352;3;studio;Hangers;19;12;657;12796;22330;27230
353;1;twin;Safe box;554;598;275;9531;47177;49863
354;5;studio;Towels;790;805;243;2900;3361;12893
355;4;apartment;Blankets;645;331;748;39195;36248;19600
356;15;studio;Safe box;382;783;43;1463;41064;14183
357;4;single;Hangers;899;803;749;41612;19700;43740
358;13;cottage;Bed sheets;467;33;838;15977;44915;27231
359;14;penthouse;Toiletries;203;75;991;37344;46264;47143
360;12;apartment;Hairdryer;131;860;916;26561;13984;12423
361;10;twin;Pillows;502;636;692;10908;47;10683
362;1;loft;Blankets;972;815;438;23430;1845;30047
363;1;penthouse;Pillows;618;997;991;41852;11597;1567
364;13;apartment;Toiletries;923;563;978;21766;49360;47203
365;8;cottage;Bed sheets;1;893;501;14798;29310;35513
366;7;suite;Coffee maker;249;753;19;10768;2364;43351
367;14;suite;Safe box;796;671;310;28804;17414;24413
368;1;cottage;Towels;116;214;634;26982;14932;34798
369;2;cottage;Hairdryer;480;926;714;8805;49677;9239
370;1;penthouse;Coffee maker;499;946;368;12872;6392;49199
371;10;cottage;Pillows;818;563;112;30439;35350;36542
372;6;loft;Pillows;728;113;442;36023;14323;7555
373;11;studio;Pillows;916;602;950;47651;20360;41659
374;6;penthouse;Towels;416;568;268;3484;3962;39854
375;12;twin;Towels;612;214;340;11382;979;1811
376;11;cottage;Hairdryer;424;79;323;39340;23123;25483
377;8;bungalow;Safe box;438;142;366;45108;6346;6591
378;2;loft;Toiletries;460;843;700;12626;15078;48288
379;2;cottage;Hairdryer;506;769;986;19810;32559;20975
380;8;apartment;Coffee maker;291;696;549;8858;28914;48250
381;11;apartment;Safe box;97;436;566;19570;12270;8891
382;3;bungalow;Mini fridge;982;113;539;41141;1885;24656
383;7;suite;Coffee maker;806;860;343;15596;33026;4949
384;10;cottage;Pillows;620;857;206;36264;17599;24709
385;14;suite;Blankets;677;913;490;32430;20053;32439
386;8;bungalow;Bed sheets;663;739;630;13825;23844;4718
387;14;studio;Bed sheets;603;904;48;18828;3608;40457
388;7;twin;Bed sheets;204;197;883;17667;30431;29424
389;13;cottage;Toiletries;751;490;359;45033;9685;14926
390;13;studio;Toiletries;818;563;938;16171;32855;43096
391;2;apartment;Blankets;337;847;605;269;18628;19917
392;14;bungalow;Mini fridge;615;774;301;18738;14660;9862
393;10;bungalow;Hangers;763;463;546;33620;15647;2516
394;14;single;Mini fridge;908;627;532;8408;25813;12318
395;8;studio;Coffee maker;431;269;576;41593;23548;3442
396;4;cottage;Coffee maker;767;473;594;7616;28455;34650
397;13;studio;Pillows;728;691;833;41692;17103;4184
398;8;suite;Hairdryer;220;614;606;1076;34309;46072
399;11;bungalow;Coffee maker;645;859;934;22066;11216;32990
400;1;twin;Pillows;438;480;976;4728;12198;37493
401;4;double;Towels;579;14;54;9164;43278;48123
402;8;bungalow;Coffee maker;886;169;490;23080;1285;10802
403;15;loft;Blankets;944;39;923;21554;28165;21669
404;2;double;Hangers;110;538;488;26759;38176;37726
405;4;suite;Towels;97;374;100;25988;21385;20080
406;15;double;Hairdryer;324;813;237;22942;32813;38189
407;12;studio;Safe box;46;915;468;19312;27443;25098
408;3;bungalow;Mini fridge;831;742;544;38052;47902;29471
409;11;penthouse;Safe box;7;726;345;11307;46022;1894
410;13;studio;Coffee maker;622;555;388;38519;16451;16206
411;6;suite;Bed sheets;568;130;675;21277;15605;19547
412;6;suite;Pillows;112;415;696;42727;2449;40489
413;6;single;Toiletries;101;401;569;13000;1617;27667
414;7;loft;Hairdryer;941;652;936;39545;14078;11515
415;4;loft;Hairdryer;717;315;222;17965;9082;5877
416;7;penthouse;Hangers;385;198;460;47605;28500;43301
417;8;bungalow;Blankets;236;683;666;44821;48555;9616
418;5;bungalow;Coffee maker;82;739;366;42344;2990;44031
419;12;cottage;Hangers;559;463;737;1397;14736;38234
420;1;twin;Coffee maker;509;746;645;37913;2140;21205
421;15;penthouse;Toiletries;696;494;975;22251;5342;20485
422;1;studio;Mini fridge;337;408;482;17115;21210;41505
423;9;twin;Safe box;404;837;853;49039;27484;34895
424;3;single;Coffee maker;347;776;436;225;16782;3654
425;12;single;Hairdryer;800;696;329;10127;18710;36358
426;8;studio;Coffee maker;684;578;816;31280;20636;14492
427;9;suite;Pillows;295;842;347;27724;29565;46614
428;7;double;Bed sheets;110;576;620;12329;6155;35638
429;4;apartment;Blankets;429;503;592;33730;15693;43741
430;4;apartment;Mini fridge;601;182;677;46931;40836;12308
431;9;cottage;Pillows;485;612;696;46442;839;38247
432;2;penthouse;Toiletries;135;8;931;14663;48489;30932
433;13;bungalow;Hairdryer;17;645;281;18476;9766;35210
434;11;apartment;Safe box;385;175;839;17855;40290;20345
435;7;loft;Blankets;666;195;79;13783;16260;35530
436;6;suite;Hangers;863;770;101;15939;45988;3246
437;7;penthouse;Towels;929;484;723;41308;34352;11978
438;7;apartment;Toiletries;491;629;628;10474;40066;4385
439;6;loft;Hairdryer;533;442;588;43416;196;5423
440;3;bungalow;Hairdryer;407;702;338;13582;48348;48307
441;12;apartment;Bed sheets;297;829;676;21111;21319;32002
442;6;suite;Towels;402;553;689;14741;7180;25753
443;9;suite;Hairdryer;922;350;871;7156;46241;30663
444;12;cottage;Pillows;443;147;124;22191;91;21569
445;14;loft;Hangers;323;343;342;38973;25121;12803
446;10;single;Blankets;775;245;247;32745;34598;29459
447;2;single;Towels;826;32;254;16505;27454;45566
448;1;loft;Hairdryer;426;763;202;31966;17480;13024
449;4;double;Hangers;759;986;409;12457;22388;32815
450;8;apartment;Coffee maker;473;660;318;45546;34291;22627
451;4;suite;Pillows;238;578;120;1934;12986;38513
452;3;cottage;Mini fridge;760;772;748;34395;44004;13704
453;15;loft;Blankets;930;266;147;23317;14011;44788
454;7;cottage;Towels;875;320;351;36074;10339;907
455;1;studio;Mini fridge;402;92;730;10364;9441;43946
456;15;studio;Pillows;968;551;107;39157;44975;27498
457;11;apartment;Safe box;573;658;936;49413;8130;19724
458;5;bungalow;Mini fridge;792;451;242;44856;14667;13426
459;14;twin;Safe box;400;926;854;26958;7788;28092
460;2;suite;Coffee maker;582;966;388;27713;5641;33506
461;6;single;Hairdryer;790;588;99;16006;33513;25947
462;12;studio;Mini fridge;81;309;356;604;33634;27706
463;11;apartment;Toiletries;345;206;852;892;33004;8722
464;2;cottage;Towels;117;110;622;10303;41202;21911
465;5;double;Safe box;88;936;51;19362;27351;32888
466;13;studio;Hairdryer;464;634;703;18634;44109;32339
467;15;loft;Bed sheets;578;89;753;46627;30411;26599
468;12;bungalow;Bed sheets;868;249;470;30550;20902;20078
469;9;single;Pillows;268;982;674;41414;39849;13023
470;8;single;Pillows;569;976;85;42153;49467;19125
471;12;loft;Safe box;674;836;506;10007;42752;16486
472;12;apartment;Coffee maker;896;91;334;40925;33003;21865
473;13;suite;Towels;892;637;845;12749;11696;42240
474;15;double;Coffee maker;852;102;445;16177;39249;14347
475;3;twin;Coffee maker;924;411;44;27003;17016;38278
476;9;twin;Toiletries;3;313;572;7378;10947;31056
477;7;suite;Toiletries;232;64;895;32140;30824;43833
478;4;single;Hairdryer;913;303;92;45337;3077;42541
479;15;twin;Toiletries;14;363;918;22693;30277;37846
480;1;suite;Mini fridge;620;602;601;49623;12796;27798
481;10;suite;Towels;192;480;544;772;2965;10826
482;7;apartment;Hairdryer;395;361;207;5481;46517;43561
483;4;apartment;Hangers;313;81;580;23523;37480;2125
484;5;studio;Pillows;991;106;564;29510;45531;46942
485;14;loft;Toiletries;512;345;406;13741;38949;22022
486;9;twin;Hairdryer;761;971;828;28570;6355;33079
487;14;twin;Blankets;795;534;960;49188;41146;1450
488;3;apartment;Toiletries;788;306;512;15549;28555;26141
489;3;double;Safe box;965;574;431;11262;24546;806
490;3;studio;Towels;200;708;192;43348;46846;36914
491;8;loft;Safe box;266;952;47;24501;12997;22682
492;6;single;Blankets;672;537;238;18727;120;13885
